------- 1 - Términos	BI2024
glándulas suprarrenales	adrenal glands	BI2024
adrenorreceptor	adrenoreceptor	BI2024
adriamicina	adriamycin	BI2024
adsorción	adsorption	BI2024
absorción y tránsito gastrointestinal en compartimentos, versión avanzada   	advanced compartment absorption and transit	BI2024
modelo de absorción y tránsito gastrointestinal en compartimentos, versión avanzada [modelo ACAT] 	advanced compartment absorption and transit model [ACAT model] 	BI2024
agente fortuito	adventitious agent	BI2024
reacción adversa al medicamento	adverse drug reaction	BI2024
evento adverso	adverse event	BI2024
reacción adversa	adverse reaction	BI2024
aireación	aeration	referida a un compuesto)	BI2024
partícula fina y aerodinámica	aerodynamic fine particle 	BI2024
aflatoxina	aflatoxin	BI2024
grumos	agglomerates	referido a las partículas)	BI2024
agregómetro	aggregometer	BI2024
factores de concordancia 	agreement factors	BI2024
velocidad del flujo de aire	air flow rate	BI2024
tamizadora a chorro de aire	air jet sieve	BI2024
suministro de aire	air supply	BI2024
tubo de suministro de aire	air supply tube	BI2024
secar al aire 	air-dry	BI2024
limitación del flujo de aire	airflow limitation	BI2024
vías respiratorias	airway	BI2024
obstrucción de las vías respiratorias	airway obstruction	BI2024
obstrucción de las vías respiratorias	obstruction of airways	BI2024
criterio de información de Akaike	Akaike information criterion	BI2024
alanina aminotransferasa	alanine aminotransferase	BI2024
rata albina	albino rat	BI2024
albúmina/globulina [A/G]	albumin/globulin [A/G]	BI2024
relación albúmina-globulina	albumin/globulin ratio	BI2024
aldehído	aldehyde	BI2024
aldolasa	aldolase	BI2024
alifático	aliphatic 	BI2024
alícuotas de las soluciones	aliquots of the solutions	BI2024
rojo alizarina 	alizarin red 	BI2024
metales alcalinos	alkali metals	BI2024
metales alcalinotérreos	alkaline earths	BI2024
fosfatasa alcalina	alkaline phosphatase	BI2024
alquino	alkyne	BI2024
alergeno	allergen 	BI2024
alfa-tocoferol todo racémico	all-rac-alpha-tocopheryl acetate 	BI2024
alfa-tocoferol acetato	alpha tocopherol acetate	BI2024
propelente alternativo	alternate propellant	BI2024
blíster de aluminio/aluminio	alu/alu blister	BI2024
lámina de aluminio	aluminium foil	BI2024
laca de aluminio	aluminium lake	BI2024
laminado de aluminio	aluminium laminated 	BI2024
matraz aforado de vidrio de color ámbar	amber volumetric glass flask	BI2024
condiciones de temperatura y humedad ambiente	ambient conditions	BI2024
modificar	amend	referido a estudios clínicos)	BI2024
la prueba de Ames arrojó un resultado negativo	Ames negative	BI2024
prueba de Ames	Ames test	BI2024
amida	amid	BI2024
grupo amida	amide group	BI2024
amidina 	amidin 	BI2024
cloruro de amina	amine chloride	BI2024
aminobenzoico	aminobenzoyl	BI2024
amoníaco	ammonia	BI2024
amonio	ammonium	BI2024
acetato de amonio	ammonium acetate	BI2024
fosfato diácido de amonio 	ammonium dihydrogen phosphate	BI2024
fosfato ácido de amonio 	ammonium hydrogen phosphate	BI2024
sulfato de amonio	ammonium sulphate	BI2024
convertidor analógico a digital	analog to digital converter	BI2024
convertidor A/D 	A/D converter	BI2024
análisis de covarianza	analysis of covariance	BI2024
modelo de análisis de covarianza [modelo ANCOVA]	analysis of covariance modelling [ANCOVA modelling]	BI2024
modelo de análisis de covarianza [modelo ANCOVA]	analysis of covariance model [ANCOVA model]	BI2024
análisis de varianza 	analysis of variance	BI2024
analista	analyst 	BI2024
gerente	analyst 	decidir según el contexto o consultar)	BI2024
analito 	analyte 	BI2024
balanza analítica	analytical balance	BI2024
datos analíticos	analytical data 	BI2024
Departamento de Desarrollo Analítico	Analytical Development Department	Analytical Development Department) 	BI2024
umbral de evaluación analítica	analytical evaluation threshold	BI2024
grado analítico	analytical grade	BI2024
precisión analítica 	analytical precision 	BI2024
procedimiento analítico	analytical procedure	BI2024
especificación analítica	analytical specification	BI2024
anafilaxis	anaphylaxis	BI2024
química terapéutica anatómica	anatomical therapeutic chemical	BI2024
impactador de cascada Andersen	Andersen Cascade Impactor	BI2024
bloqueador del receptor de angiotensina II	angiotensin II receptor blocker	BI2024
enzima convertidora de angiotensina	angiotensin-converting enzyme	BI2024
sección angular	angular section	BI2024
anhídrido	anhydride	BI2024
anhidra/o	anhydrous	BI2024
sal anhidra	anhydrous salt	BI2024
anilina	aniline	BI2024
bioterio	animal facility	BI2024
cuidado de los animales	animal husbandry	BI2024
intercambio aniónico	anion exchange	BI2024
brecha aniónica	anion gap	BI2024
reactivo de anisaldehído	anisaldehyde reagent	BI2024
anticoncepción anovulatoria	anovulatory contraception	BI2024
efecto antagonista	antagonistic effect	BI2024
antiadherente	anti-adherent	BI2024
antiadherente	antiadherent	BI2024
antibióticos 	antibiotics	BI2024
anticuerpo	antibody	BI2024
anticoagulante	anticoagulant	BI2024
tratamiento anticoagulante 	anticoagulant therapy	BI2024
anticonvulsivo 	anticonvulsant 	BI2024
anticuerpos antifármaco	anti-drug antibodies	BI2024
anticuerpo antifosfolípido 	antiphospholipid antibody	BI2024
antiproliferativo	anti-proliferative	BI2024
tratamiento antirretroviral 	antiretroviral therapy 	BI2024
antisepsia	antisepsis	BI2024
antidisolvente	antisolvent	BI2024
prueba de Ápgar	Apgar test	BI2024
apical a basolateral [AP-BL y basolateral a apical [BL-AP]	apical to basolateral [AP-BL] and basolateral to apical [BL-AP]	BI2024
equipo	apparatus	BI2024
aspecto	appearance	BI2024
aspecto	aspect 	BI2024
Aspecto. Resistencia al aplastamiento. Contenido de agua. Disolución. Degradación del principio activo. Valoración.	Appearance. Resistance to Crushing. Water Content. Dissolution. Active ingredient degradation. Assay.	BI2024
anexo/s	appendix	BI2024
anexo/s	appendices	BI2024
solicitante	applicant	BI2024
agentes orales aprobados para su utilización contra la diabetes	approved oral antidiabetic agents	BI2024
dosis letal aproximada	approximate lethal dose	BI2024
aprotinina	aprotinin	BI2024
recubrimiento acuoso	aqueous film-coating	BI2024
humor acuoso	aqueous fluid	BI2024
sistema homogéneo acuoso	aqueous one-phase system	BI2024
ácido araquidónico	arachidonic acid	BI2024
aragonita	aragonite	BI2024
área bajo la curva	area under the curve	BI2024
0‑24h)]  	area under the curve from time zero to 24 h post-dose [AUC	área bajo la curva entre 0 y las 24 horas posteriores a la dosis [AUC (0‑24h)]	BI2024
0‑24h,ss)]  	area under the curve from time zero to 24 h post-dose, at steady‑state conditions [AUC	área bajo la curva entre 0 y las 24 horas posteriores a la dosis en condiciones de equilibrio [AUC (0‑24h,ss)]  	BI2024
área bajo la curva entre cero e infinito [AUC0-inf] 	area under the curve from time zero to infinite [AUC0-inf] 	BI2024
arginina	arginine	BI2024
media aritmética	arithmetic mean	en estadística)	BI2024
grupo	arm	BI2024
presión arterial	arterial blood pressure	BI2024
error de lectura 	artifact	BI2024
tal cual	as is  	BI2024
ácido ascórbico	ascorbic acid	BI2024
cenizas	ash	BI2024
reducir a cenizas	to ash	BI2024
aspartamo	aspartame	BI2024
aspartato aminotransferasa	aspartate aminotransferasa	BI2024
aspecto 	aspect	BI2024
aspecto 	appearance	BI2024
contenido, valoración	assay	referido a determinaciones cuantitativas)	BI2024
ensayo, prueba, análisis	assay	en sentido general)	BI2024
evaluación - evaluar mediante visualización vertical contra un fondo blanco 	assessment - to carry out the assessment by viewing vertically against a white background	BI2024
una hora antes de la dosis	at 1hour pre-dose	BI2024
a escala piloto	at pilot scale	BI2024
a escala de producción	at production scale	BI2024
de manera aleatoria	at random	BI2024
fibrilación auricular	atrial fibrillation	BI2024
comunicación interauricular	atrial septal defect	BI2024
auriculoventricular [A-V]	atrio-ventricular [A-V]	BI2024
reflexión total atenuada	attenuated total reflection	BI2024
hiperuricemia	augmented blood uric acid levels	BI2024
balanza de alimentación automática	automatic feeder balance	BI2024
autofosforilación	autophosphorylation	BI2024
procesador de muestras automático 	autosampler	BI2024
umbral de validación automática	autothreshold validation	BI2024
coadyuvante	auxiliary agent	BI2024
promedio [prom.]	average	BI2024
área promedio del pico	average peak area	cromatografía)	BI2024
peso promedio	average weight	BI2024
virus de la eritoblastosis aviar 	avian erythroblastosis virus 	BI2024
azaperona	azaperone	BI2024
destilación azeotrópica	azeotropic distillation	BI2024
superficie de fondo	background lawn	BI2024
medicación de base	background medication	BI2024
espectros de fondo	background scan	BI2024
espectros de fondo	background spectrum	BI2024
contenido de agua subyacente	background water content	BI2024
bacterias	bacterial pathogens	BI2024
receptor de reconocimiento de patrones bacterianos 	bacterial pattern recognition receptor 	BI2024
Ames Test)	bacterial reverse mutation assay	análisis de mutación inversa bacteriana (prueba de Ames)	BI2024
filtro para la retención de las bacterias	bacteria-retaining filter	BI2024
toxicidad bacteriana	bacteriotoxicity	BI2024
sistema de expresión basado en los baculovirus	baculovirus expression vector system	de proteínas)	BI2024
bar	bar	BI2024
bares	bars 	referido a la unidad de medición)	BI2024
sometido a alteración química por base	base stressed	BI2024
muestra sometida a alteración química por base	base stressed sample	BI2024
inicial	baseline	referido a un valor)	BI2024
línea de base	baseline	referido a cromatografía)	BI2024
índice de disnea inicial	baseline dyspnea index	BI2024
mutaciones por sustitución de pares de bases 	base-pair substitutions	BI2024
perro Beagle de BASF	BASF Beagle dog	BI2024
grupo de picos de especies básicas 	basic peak group	BI2024
dispositivo de sujeción de las cestas 	basket apparatus	BI2024
método de cesta	basket method	BI2024
partida	batch	a diferencia de lot, se refiere al producto que se produce en grandes cantidades de una sola vez)	BI2024
número de partida	batch number	BI2024
vaso de precipitados	beaker	BI2024
divisor de haz	beamsplitter	BI2024
divisor de haz	beam splitter	BI2024
prueba rápida	bedside test	BI2024
debajo del límite de cuantificación	below quantification limit	BI2024
aguja curva	bent needle	BI2024
cloruro de benzalconio	benzalkonium chloride	BI2024
solución de cloruro de benzalconio	benzalkonium chloride solution	BI2024
benzoxazinona	benzoxazinone	BI2024
alcohol bencílico	benzyl alcohol	BI2024
benzoato bencílico	benzyl benzoate	BI2024
en el mejor de los casos	best-case scenario	BI2024
en el mejor de los casos	best case scenario	BI2024
beta caroteno	beta carotene	BI2024
agonistas beta2 	beta2 agonists	BI2024
Betatab	Betatab	referido a la marca registrada)	BI2024
borde biselado	bevel-edged	BI2024
borde biselado	bevel edged 	BI2024
número de BI	BI number	BI2024
logo de la torre de BI	BI tower logo 	BI2024
Código de BI	BI-/Study No. 	BI2024
Núm. de estudio	BI-/Study No. 	BI2024
valoración biamperométrica de Karl Fischer	biamperometric Karl Fischer titration	BI2024
bicapa	bilayered	BI2024
bicapa	bi-layered	BI2024
bacteria gramnegativa resistente a la bilis	bile-tolerant gram-negative bacteria	BI2024
eliminación biliar	biliary excretion	BI2024
mezclador del contenedor	bin blender	BI2024
mezclador del contenedor	bin mixer	BI2024
e.g.: binding of spesolimab to IL-36R) 	binding	unión (por ej.: la unión de espesolimab al IL-36R) 	BI2024
referido a los comprimidos)	binding agent	BI2024
aglutinante	binder	referido a los comprimidos)	BI2024
biodisponibilidad	bioavailability	BI2024
biocarga	bioburden	BI2024
estudio de bioequivalencia	bioequivalence study	BI2024
biomarcadores	biomarkers	BI2024
Sistema de Clasificación Biofarmacéutica 	Biopharmaceutical Classification System 	BI2024
cultivos en biorreactores	bioreactor cultures	BI2024
medios biorrelevantes	biorelevant media	BI2024
biotina	biotin	BI2024
biotransformación	biotransformation	BI2024
fecha de la primera autorización	birth date	de un medicamento)	BI2024
dos veces al día [b.i.d.]	bis in die [b.i.d.]	BI2024
preparación blanco	blank preparation	BI2024
solución blanco	blank solution 	BI2024
hemorragia	bleeding	BI2024
hemorragia	bleeding episode	BI2024
combinar	blend 	p. ej., diferentes partidas molidas)	BI2024
mezclar	blend 	referido a un comprimido)	BI2024
blíster	blister	BI2024
blísteres	blisters	BI2024
tira de blíster	blister card	BI2024
tira de blíster	blister strip 	BI2024
distensión abdominal 	bloating	BI2024
bloquear la señalización del IL-36R	block IL36R signalling	BI2024
capacidad bloqueadora	blocking ability	BI2024
sistema amortiguador de la sangre	blood buffer system	BI2024
glóbulos sanguíneos	blood cells	BI2024
colesterolemia	blood cholesterol level	BI2024
concentración en sangre	blood concentration	BI2024
hemocultivo	blood culture	BI2024
torrente sanguíneo	blood flow	BI2024
torrente sanguíneo	bloodstream	BI2024
torrente sanguíneo	blood stream	BI2024
glucemia	blood glucose level	BI2024
barrera placentaria	blood placenta barrier	BI2024
tensión arterial	blood pressure	BI2024
recuento de reticulocitos	blood reticulocyte count	BI2024
uricemia	blood uric acid	BI2024
barrera hematoencefálica	blood-brain barrier	BI2024
linfocitos b	B-lymphocytes	BI2024
cuerpo	body	referido al comprimido)	BI2024
pletismografía corporal	body plethysmography	BI2024
peso corporal	body weight [b.wt.]	BI2024
Boehringer Ingelheim	Boehringer Ingelheim	BI2024
frotis de médula ósea	bone marrow smear	BI2024
configuración límite	borderline setting	BI2024
escala de Borg	Borg scale	BI2024
frasco	bottle	BI2024
base	bottom	de la columna de tamices)	BI2024
fase inferior	bottom phase	BI2024
seroalbúmina bovina	bovine serum albumin	BI2024
diseño de análisis de extremos	bracketing 	BI2024
aminoácidos de cadena ramificada	branched-chain amino acids	BI2024
Agencia Nacional de Vigilancia Sanitaria de Brasil	Brazilian Health Regulatory Agency	BI2024
fraccionar	break	referido a un comprimido)	BI2024
deformación	breaking strain	BI2024
fuerza de rotura	breaking strength	BI2024
punto crítico	breakpoint 	BI2024
lactancia	breast-feeding 	BI2024
dificultad respiratoria	breathing discomfort	BI2024
resumen acotado	brief summary	BI2024
clorhidrato de bromhexina	bromhexine hydrochloride 	BI2024
bromhidrina	bromhydrine	BI2024
bromuro	bromide	BI2024
bromo	bromine	BI2024
verde de bromocresol	bromocresol green	BI2024
bromohidrina	bromohydrine	BI2024
perfil de broncodilatación	bronchodilating profile	BI2024
broncoprotección	bronchoprotection	BI2024
efecto broncoprotector	bronchoprotective effect	BI2024
castaño	brown	BI2024
ocre	brown yellow 	BI2024
ácido débil	buffer acid 	BI2024
base débil	buffer alkali	BI2024
capacidad amortiguadora	buffer capacity	BI2024
disolución amortiguadora 	buffer solution 	BI2024
estabilizador del pH	buffer substance	BI2024
densidad aparente	bulk density	BI2024
producto a granel	bulk product	BI2024
propiedades intensivas	bulk properties	BI2024
volumen del granel	bulk volume	BI2024
mechero	burner 	BI2024
ardor	burning	BI2024
ardor	burning pain	BI2024
butanol	butanol	BI2024
butanona	butanone	BI2024
butendioato	butendioate	BI2024
metacrilato de butilo	butylmethylacrylate	BI2024
productos secundarios	by-products 	BI2024
cámara	cabinet	referido a una tamizadora sónica)	BI2024
precinto	cable binder	BI2024
carbonato de calcio	calcium carbonate	BI2024
fosfato monoácido de calcio anhidro	calcium hydrogen phosphate, anhydrous	BI2024
estearato de calcio	calcium stearate	BI2024
calculado en base anhidra	calculated with reference to anhydrous substance	BI2024
jeringa calibrada 	calibrated syringe 	BI2024
curva de calibración	calibration curve	BI2024
curva de calibración	calibration plot 	BI2024
calibrador	calliper	BI2024
buje de leva	cam bushing	BI2024
tapa	cap	de una jeringa)	BI2024
revestimiento interior	cap liner	referido a la tapa de un medicamento)	BI2024
factor de capacidad	capacity factor	BI2024
tubo capilar	capillary	BI2024
electroforesis capilar en gel	capillary gel electrophoresis	BI2024
electroforesis capilar en gel en condiciones reductoras	capillary gel electrophoresis reduced	BI2024
enfoque isoeléctrico capilar	capillary isoelectric focusing	BI2024
of the layer of a tablet) 	capping	desprendimiento	BI2024
of the layer of a tablet) 	capping	decapado (referido a los comprimidos) 	BI2024
casquete de la cápsula	capsule cap flesh	BI2024
encapsuladora 	capsule filling machine	BI2024
carbono 14	carbon-14	BI2024
carbonildiimidazol	carbonyldiimidazole	BI2024
carcinogénico	carcinogenetic	referido a un carcinógeno)	BI2024
cancerígeno	carcinogenic	BI2024
carcinogenia	carcinogenicity	BI2024
acción cancerígena	carcinogenicity	BI2024
cirrosis hepática de origen cardíaco 	cardiac cirrhosis	BI2024
auscultación cardíaca	cardiac exam	BI2024
auscultación cardíaca	cardiac examination	BI2024
insuficiencia cardíaca 	cardiac failure	BI2024
gasto cardíaco	cardiac output	BI2024
cardiovascular	cardiovascular	BI2024
cera de carnauba	carnauba wax	BI2024
soporte	carrier 	en cromatografía - puede ser almidón, celulosa, etc.)	BI2024
presión del gas portador	carrier gas pressure	cromatografía)	BI2024
producto residual	carry over product	BI2024
arrastre	carryover 	referido a las impurezas)	BI2024
envase 	carton	BI2024
encajadora	cartoning machine	BI2024
encajadora	cartoner	BI2024
cartucho	cartridge	BI2024
Chemical Abstracts Service, CAS).	CAS number	BI2024
Número según el CAS - Servicio de información de sustancias químicas	Chemical Abstracts Service number	Chemical Abstracts Service, CAS).	BI2024
impactador de cascadas 	cascade impactor	BI2024
parte inferior del compartimento	case bottom part	BI2024
ficha del paciente	case card	BI2024
historia clínica	case history	BI2024
historia clínica	medical record	BI2024
referido a estudios clínicos)	case report forms	BI2024
formulario de notificación de casos	case record form	referido a estudios clínicos)	BI2024
parte superior del compartimento	case upper part	BI2024
catalizador 	catalyst	BI2024
cromatografía de intercambio catiónico	cation exchange chromatography	BI2024
célula número 1221	Cell #1221	BI2024
densidad celular 	cell density	BI2024
línea celular	cell line	BI2024
ensayo celular	cell-based assay	BI2024
celulosa	cellulose	BI2024
cartón de celulosa	cellulose cardboard	BI2024
Centro de Evaluación e Investigación de Medicamentos	Center for Drug Evaluation and Research	Center for Drug Evaluation and Research)	BI2024
Sistema nervioso central	Central nervous system	BI2024
accidente cerebrovascular	cerebrovascular accident	BI2024
certificado de autorización	certificate of clearance 	BI2024
Identificación de la carga	charge identification	BI2024
Identificación de la carga	charge ID 	BI2024
variante de carga	charge variant	BI2024
variante de carga	charge isoform	BI2024
detector de aerosol cargado	charged aerosol detector	en cromatografía)	BI2024
cepa de ratón de Charles River Laboratories y Naval Medical Research Institute [Crl:NMRI]	Charles River Laboratories	BI2024
cepa de ratón de Charles River Laboratories y Naval Medical Research Institute [Crl:NMRI]	Naval Medical Research Institute mouse strain [Crl:NMRI]	BI2024
cepa de rata de Charles River Laboratories	Charles River Laboratories	BI2024
Wistar Hannover [Crl:WI(Han)]	Wistar Hannover rat strain [Crl:WI(Han)]	BI2024
control de los equipos para pesar 	check-weighing equipment  	BI2024
Nombre según el CAS 	Chemical Abstract Name 	Servicio de información de sustancias químicas, Chemical Abstract Service)	BI2024
Servicio de información de sustancias químicas	Chemical Abstracts Service	Chemical Abstracts Service, CAS).	BI2024
degradación química	chemical degradation	BI2024
nombre químico	chemical name 	BI2024
reactividad química	chemical reactivity	BI2024
sustancias químicas	chemicals	BI2024
Chemikaliengesetz	Chemikaliengesetz	Ley sobre productos químicos) 	BI2024
a prueba de niños	child-resistant	BI2024
línea celular de ovario de hámster chino	Chinese hamster ovary cell line	BI2024
centro quiral	chiral center 	BI2024
cromatografía líquida de alta resolución quiral [C-HPLC]	chiral high performance liquid chromatography [C-HPLC]	BI2024
cloruro	chloride	BI2024
cloro	chlorine	BI2024
clorometilo	chloromethyl	BI2024
colina	choline	BI2024
valoración cromatográfica 	chromatographic assay	BI2024
pureza cromatográfica	chromatographic purity	BI2024
determinación por cromatografía	chromatography determination	BI2024
grado de cromatografía 	chromatography grade	BI2024
pico cromatográfico	chromatography peak	BI2024
configuración cromatográfica	chromatography setup	BI2024
ensayo LAL cromogénico	chromogenic LAL assay	BI2024
ensayo de lisado de amebocitos de Limulus cromogénico	chromogenic limulus amebocyte lysate assay	BI2024
cromóforo	chromophore	BI2024
ruptura de cromosomas	chromosome breakage	BI2024
enfermedad pulmonar obstructiva crónica	chronic obstructive pulmonary disease	BI2024
ciclesonida 	ciclesonide	BI2024
ciclesonida isobutirato 	ciclesonide isobutyrate	BI2024
aproximadamente [aprox.]	circa 	BI2024
metabolito circulante	circulating metabolite	BI2024
período de uso declarado	claimed use period	BI2024
sujetar con la traba	clamp	referido a la columna de tamices)	BI2024
claritromicina	clarithromycin	BI2024
claridad, claro	clarity	BI2024
limpidez, límpido	clear	BI2024
lucidez mental	clarity of thought	BI2024
campana de flujo laminar clase 100	class 100 laminar flow hood	BI2024
clastógeno	clastogen	BI2024
vapor limpio	clean steam	BI2024
higiene	cleanliness	BI2024
limpieza 	clean-up	BI2024
limpieza 	cleaning	BI2024
desobstrucción de las vías respiratorias	clearing of airways	BI2024
escisión	cleavage	BI2024
zona climática	climatic zone	BI2024
eficacia clínica	clinical efficacy	BI2024
resumen clínico	clinical overview	BI2024
generalidades clínicas	clinical overview statements	BI2024
planta piloto para investigación clínica	clinical pilot facility   	BI2024
signo clínico	clinical sign	BI2024
estudio clínico	clinical study	BI2024
estudio clínico de fase I	clinical study phase I	BI2024
estudio clínico de fase II	clinical study phase II	BI2024
estudio clínico de fase III	clinical study phase III 	BI2024
ensayo clínico 	clinical trial 	BI2024
Informe del ensayo clínico	clinical trial report	BI2024
infección activa clínicamente importante 	clinically important active infection 	BI2024
sitio de corte	clipping site	BI2024
cerrar herméticamente	close tightly	BI2024
lisis de un coágulo	clot lysis	BI2024
prueba de coagulación	coagulation assay	BI2024
material de grano grueso	coarse material	BI2024
cloruro de cobalto 	cobalt chloride	BI2024
coelución	co-elution	referido a cromatografía)	BI2024
ligandos relacionados	cognate ligands	BI2024
estudio de cohortes	cohort study 	BI2024
placa colectora	collection plate	BI2024
molino coloidal	colloidal mill	BI2024
dióxido de silicio coloidal	colloidal silicon dioxide	BI2024
línea celular de adenocarcinoma de colon 	colonic adenocarcinoma cell line 	BI2024
unidades formadoras de colonias 	colony forming units 	BI2024
comparación colorimétrica	colourimetric comparison	BI2024
colorante	colouring agent	BI2024
cristal incoloro con forma de placas 	colourless platelike crystal 	BI2024
cabeza de la columna	column head	BI2024
horno de la columna	column oven	BI2024
relleno de la columna	column packing	BI2024
lote de relleno de la columna	column packing lot	BI2024
válvula de intercambio de la columna	column switching device	BI2024
escalada de temperatura de la columna	column temperature ramp  	BI2024
conjunto de datos combinados	combined dataset	BI2024
Comité de Medicamentos para Consumo Humano y Subcomisión de calidad	Committee for Medicinal Products for Human Use and Quality Working Party 	BI2024
Comité de Medicamentos de Origen Vegetal 	Committee on Herbal Medicinal Products	BI2024
medio de HAM F12/DMEM estándar	common HAM`s F12/DMEM medium	BI2024
Información fundamental del producto, de uso interno 	Company Core Data Sheet	BI2024
estándar interno de referencia 	company reference standard	BI2024
incluido/a en la Farmacopea	compendial	BI2024
referencia farmacopeica	compendial reference	BI2024
terminar 	complete	BI2024
hemograma completo	complete blood count	BI2024
hemograma completo	full blood count	BI2024
necropsia completa	complete necropsy	BI2024
prueba de integridad	completeness check	BI2024
valoración complejométrica	complexometric titration	BI2024
un criterio o una especificación)	comply with	BI2024
cumplir con	conform to 	un criterio o una especificación)	BI2024
conjunto de episodios cardiovasculares agudos	composite of cardiovascular events	BI2024
criterio de valoración compuesto	composite outcome	BI2024
estructura de covarianza de simetría compuesta	compound symmetry covariance structure	BI2024
mezcla comprimida	compressed blend	BI2024
compresión	compression	BI2024
estudio de compresión	compression trial	BI2024
concentrado para solución para infusión	concentrate for solution for infusion 	BI2024
cociente de concentración de radioactividad relacionada con el fármaco entre los glóbulos sanguíneos y el plasma [CC/CP]	concentration ratio of drug-related radioactivity between blood cells and plasma [CC/CP]	BI2024
e.g.: these vaccines should not be given concurrently with …).	concurrently	simultáneamente (por ejemplo: estas vacunas no deben administrarse simultáneamente con…).	BI2024
patología	condition	sentido restringido)	BI2024
condición	condition	sentido amplio)	BI2024
confianza	confidence	referido a estadística y a medición y calibración de equipos)	BI2024
intervalo de confianza	confidence interval	BI2024
límite superior del intervalo de confianza	confidence interval upper bound 	BI2024
un criterio o una especificación)	conform to	BI2024
cumplir con	comply with	un criterio o una especificación)	BI2024
variables de distorsión	confounding factors	BI2024
insuficiencia cardíaca congestiva	congestive heart failure	BI2024
metabolitos conjugados	conjugated metabolites	BI2024
coherente	consistent	BI2024
coherencia	consistent	referido a la lógica)	BI2024
consistente	consistent	BI2024
consistencia	consistency	referido a una sustancia)	BI2024
Cuidado de la Salud del Consumidor	Consumer Health Care	BI2024
consumo	consumption	BI2024
dejar en contacto	contact	una mezcla)	BI2024
envase y sistema de cierre	container closure	BI2024
envase y sistema de cierre	system	BI2024
prueba de integridad del cierre del envase	container closure integrity test	BI2024
uniformidad del contenido	content uniformity	BI2024
infusión intravenosa continua	continuous intravenous infusion	BI2024
sistema de cierre plástico de rosca continua articulado	continuous thread, multi-part plastic screw closure	BI2024
tapa de cierre de rosca continua	continuous threaded closure	BI2024
contraindicaciones	contraindications	BI2024
placa de enfriamiento	cooling plate	BI2024
rampa de enfriamiento	cooling ramp	BI2024
agua de refrigeración	cooling water	BI2024
copolímero	copolymer	BI2024
copolividona	copolyvidone, copovidone	BI2024
sulfato de cobre anhidro	copper sulphate anhydrous	BI2024
