------- 1 - Términos	BI2024
alternate propellant	propelente alternativo	BI2024
alu/alu blister	blíster de aluminio/aluminio	BI2024
aluminium foil	lámina de aluminio	BI2024
aluminium lake	laca de aluminio	BI2024
aluminium laminated 	laminado de aluminio	BI2024
amber volumetric glass flask	matraz aforado de vidrio de color ámbar	BI2024
ambient conditions	condiciones de temperatura y humedad ambiente	BI2024
amend	modificar	referido a estudios clínicos)	BI2024
Ames negative	la prueba de Ames arrojó un resultado negativo	BI2024
Ames test	prueba de Ames	BI2024
amid	amida	BI2024
amide group	grupo amida	BI2024
amidin 	amidina 	BI2024
amine chloride	cloruro de amina	BI2024
aminobenzoyl	aminobenzoico	BI2024
ammonia	amoníaco	BI2024
ammonium	amonio	BI2024
ammonium acetate	acetato de amonio	BI2024
ammonium dihydrogen phosphate	fosfato diácido de amonio 	BI2024
ammonium hydrogen phosphate	fosfato ácido de amonio 	BI2024
ammonium sulphate	sulfato de amonio	BI2024
analog to digital converter	convertidor analógico a digital	BI2024
A/D converter	convertidor A/D 	BI2024
analysis of covariance	análisis de covarianza	BI2024
analysis of covariance modelling [ANCOVA modelling]	modelo de análisis de covarianza [modelo ANCOVA]	BI2024
analysis of covariance model [ANCOVA model]	modelo de análisis de covarianza [modelo ANCOVA]	BI2024
analysis of variance	análisis de varianza 	BI2024
analyst 	analista	BI2024
analyst 	gerente	decidir según el contexto o consultar)	BI2024
analyte 	analito 	BI2024
analytical balance	balanza analítica	BI2024
analytical data 	datos analíticos	BI2024
Analytical Development Department	Departamento de Desarrollo Analítico	Analytical Development Department) 	BI2024
analytical evaluation threshold	umbral de evaluación analítica	BI2024
analytical grade	grado analítico	BI2024
analytical precision 	precisión analítica 	BI2024
analytical procedure	procedimiento analítico	BI2024
analytical specification	especificación analítica	BI2024
anaphylaxis	anafilaxis	BI2024
anatomical therapeutic chemical	química terapéutica anatómica	BI2024
Andersen Cascade Impactor	impactador de cascada Andersen	BI2024
angiotensin II receptor blocker	bloqueador del receptor de angiotensina II	BI2024
angiotensin-converting enzyme	enzima convertidora de angiotensina	BI2024
angular section	sección angular	BI2024
anhydride	anhídrido	BI2024
anhydrous	anhidra/o	BI2024
anhydrous salt	sal anhidra	BI2024
aniline	anilina	BI2024
animal facility	bioterio	BI2024
animal husbandry	cuidado de los animales	BI2024
anion exchange	intercambio aniónico	BI2024
anion gap	brecha aniónica	BI2024
anisaldehyde reagent	reactivo de anisaldehído	BI2024
anovulatory contraception	anticoncepción anovulatoria	BI2024
antagonistic effect	efecto antagonista	BI2024
anti-adherent	antiadherente	BI2024
antiadherent	antiadherente	BI2024
antibiotics	antibióticos 	BI2024
antibody	anticuerpo	BI2024
anticoagulant	anticoagulante	BI2024
anticoagulant therapy	tratamiento anticoagulante 	BI2024
anticonvulsant 	anticonvulsivo 	BI2024
anti-drug antibodies	anticuerpos antifármaco	BI2024
antiphospholipid antibody	anticuerpo antifosfolípido 	BI2024
anti-proliferative	antiproliferativo	BI2024
antiretroviral therapy 	tratamiento antirretroviral 	BI2024
antisepsis	antisepsia	BI2024
antisolvent	antidisolvente	BI2024
Apgar test	prueba de Ápgar	BI2024
apical to basolateral [AP-BL] and basolateral to apical [BL-AP]	apical a basolateral [AP-BL y basolateral a apical [BL-AP]	BI2024
apparatus	equipo	BI2024
appearance	aspecto	BI2024
aspect 	aspecto	BI2024
Appearance. Resistance to Crushing. Water Content. Dissolution. Active ingredient degradation. Assay.	Aspecto. Resistencia al aplastamiento. Contenido de agua. Disolución. Degradación del principio activo. Valoración.	BI2024
appendix	anexo/s	BI2024
appendices	anexo/s	BI2024
applicant	solicitante	BI2024
approved oral antidiabetic agents	agentes orales aprobados para su utilización contra la diabetes	BI2024
approximate lethal dose	dosis letal aproximada	BI2024
aprotinin	aprotinina	BI2024
aqueous film-coating	recubrimiento acuoso	BI2024
aqueous fluid	humor acuoso	BI2024
aqueous one-phase system	sistema homogéneo acuoso	BI2024
arachidonic acid	ácido araquidónico	BI2024
aragonite	aragonita	BI2024
area under the curve	área bajo la curva	BI2024
area under the curve from time zero to 24 h post-dose [AUC	0‑24h)]  	área bajo la curva entre 0 y las 24 horas posteriores a la dosis [AUC (0‑24h)]	BI2024
area under the curve from time zero to 24 h post-dose, at steady‑state conditions [AUC	0‑24h,ss)]  	área bajo la curva entre 0 y las 24 horas posteriores a la dosis en condiciones de equilibrio [AUC (0‑24h,ss)]  	BI2024
area under the curve from time zero to infinite [AUC0-inf] 	área bajo la curva entre cero e infinito [AUC0-inf] 	BI2024
arginine	arginina	BI2024
arithmetic mean	media aritmética	en estadística)	BI2024
arm	grupo	BI2024
arterial blood pressure	presión arterial	BI2024
artifact	error de lectura 	BI2024
as is  	tal cual	BI2024
ascorbic acid	ácido ascórbico	BI2024
ash	cenizas	BI2024
to ash	reducir a cenizas	BI2024
aspartame	aspartamo	BI2024
aspartate aminotransferasa	aspartato aminotransferasa	BI2024
aspect	aspecto 	BI2024
appearance	aspecto 	BI2024
assay	contenido, valoración	referido a determinaciones cuantitativas)	BI2024
assay	ensayo, prueba, análisis	en sentido general)	BI2024
assessment - to carry out the assessment by viewing vertically against a white background	evaluación - evaluar mediante visualización vertical contra un fondo blanco 	BI2024
at 1hour pre-dose	una hora antes de la dosis	BI2024
at pilot scale	a escala piloto	BI2024
at production scale	a escala de producción	BI2024
at random	de manera aleatoria	BI2024
atrial fibrillation	fibrilación auricular	BI2024
atrial septal defect	comunicación interauricular	BI2024
atrio-ventricular [A-V]	auriculoventricular [A-V]	BI2024
attenuated total reflection	reflexión total atenuada	BI2024
augmented blood uric acid levels	hiperuricemia	BI2024
automatic feeder balance	balanza de alimentación automática	BI2024
autophosphorylation	autofosforilación	BI2024
autosampler	procesador de muestras automático 	BI2024
autothreshold validation	umbral de validación automática	BI2024
auxiliary agent	coadyuvante	BI2024
average	promedio [prom.]	BI2024
average peak area	área promedio del pico	cromatografía)	BI2024
average weight	peso promedio	BI2024
avian erythroblastosis virus 	virus de la eritoblastosis aviar 	BI2024
azaperone	azaperona	BI2024
azeotropic distillation	destilación azeotrópica	BI2024
background lawn	superficie de fondo	BI2024
background medication	medicación de base	BI2024
background scan	espectros de fondo	BI2024
background spectrum	espectros de fondo	BI2024
background water content	contenido de agua subyacente	BI2024
bacterial pathogens	bacterias	BI2024
bacterial pattern recognition receptor 	receptor de reconocimiento de patrones bacterianos 	BI2024
bacterial reverse mutation assay	Ames Test)	análisis de mutación inversa bacteriana (prueba de Ames)	BI2024
bacteria-retaining filter	filtro para la retención de las bacterias	BI2024
bacteriotoxicity	toxicidad bacteriana	BI2024
baculovirus expression vector system	sistema de expresión basado en los baculovirus	de proteínas)	BI2024
bar	bar	BI2024
bars 	bares	referido a la unidad de medición)	BI2024
base stressed	sometido a alteración química por base	BI2024
base stressed sample	muestra sometida a alteración química por base	BI2024
baseline	inicial	referido a un valor)	BI2024
baseline	línea de base	referido a cromatografía)	BI2024
baseline dyspnea index	índice de disnea inicial	BI2024
base-pair substitutions	mutaciones por sustitución de pares de bases 	BI2024
BASF Beagle dog	perro Beagle de BASF	BI2024
basic peak group	grupo de picos de especies básicas 	BI2024
basket apparatus	dispositivo de sujeción de las cestas 	BI2024
basket method	método de cesta	BI2024
batch	partida	a diferencia de lot, se refiere al producto que se produce en grandes cantidades de una sola vez)	BI2024
batch number	número de partida	BI2024
beaker	vaso de precipitados	BI2024
beamsplitter	divisor de haz	BI2024
beam splitter	divisor de haz	BI2024
bedside test	prueba rápida	BI2024
below quantification limit	debajo del límite de cuantificación	BI2024
bent needle	aguja curva	BI2024
benzalkonium chloride	cloruro de benzalconio	BI2024
benzalkonium chloride solution	solución de cloruro de benzalconio	BI2024
benzoxazinone	benzoxazinona	BI2024
benzyl alcohol	alcohol bencílico	BI2024
benzyl benzoate	benzoato bencílico	BI2024
best-case scenario	en el mejor de los casos	BI2024
best case scenario	en el mejor de los casos	BI2024
beta carotene	beta caroteno	BI2024
beta2 agonists	agonistas beta2 	BI2024
Betatab	Betatab	referido a la marca registrada)	BI2024
bevel-edged	borde biselado	BI2024
bevel edged 	borde biselado	BI2024
BI number	número de BI	BI2024
BI tower logo 	logo de la torre de BI	BI2024
BI-/Study No. 	Código de BI	BI2024
BI-/Study No. 	Núm. de estudio	BI2024
biamperometric Karl Fischer titration	valoración biamperométrica de Karl Fischer	BI2024
bilayered	bicapa	BI2024
bi-layered	bicapa	BI2024
bile-tolerant gram-negative bacteria	bacteria gramnegativa resistente a la bilis	BI2024
biliary excretion	eliminación biliar	BI2024
bin blender	mezclador del contenedor	BI2024
bin mixer	mezclador del contenedor	BI2024
binding	e.g.: binding of spesolimab to IL-36R) 	unión (por ej.: la unión de espesolimab al IL-36R) 	BI2024
binding agent	referido a los comprimidos)	BI2024
binder	aglutinante	referido a los comprimidos)	BI2024
bioavailability	biodisponibilidad	BI2024
bioburden	biocarga	BI2024
bioequivalence study	estudio de bioequivalencia	BI2024
biomarkers	biomarcadores	BI2024
Biopharmaceutical Classification System 	Sistema de Clasificación Biofarmacéutica 	BI2024
bioreactor cultures	cultivos en biorreactores	BI2024
biorelevant media	medios biorrelevantes	BI2024
biotin	biotina	BI2024
biotransformation	biotransformación	BI2024
birth date	fecha de la primera autorización	de un medicamento)	BI2024
bis in die [b.i.d.]	dos veces al día [b.i.d.]	BI2024
blank preparation	preparación blanco	BI2024
blank solution 	solución blanco	BI2024
bleeding	hemorragia	BI2024
bleeding episode	hemorragia	BI2024
blend 	combinar	p. ej., diferentes partidas molidas)	BI2024
blend 	mezclar	referido a un comprimido)	BI2024
blister	blíster	BI2024
blisters	blísteres	BI2024
blister card	tira de blíster	BI2024
blister strip 	tira de blíster	BI2024
bloating	distensión abdominal 	BI2024
block IL36R signalling	bloquear la señalización del IL-36R	BI2024
blocking ability	capacidad bloqueadora	BI2024
blood buffer system	sistema amortiguador de la sangre	BI2024
blood cells	glóbulos sanguíneos	BI2024
blood cholesterol level	colesterolemia	BI2024
blood concentration	concentración en sangre	BI2024
blood culture	hemocultivo	BI2024
blood flow	torrente sanguíneo	BI2024
bloodstream	torrente sanguíneo	BI2024
blood stream	torrente sanguíneo	BI2024
blood glucose level	glucemia	BI2024
blood placenta barrier	barrera placentaria	BI2024
blood pressure	tensión arterial	BI2024
blood reticulocyte count	recuento de reticulocitos	BI2024
blood uric acid	uricemia	BI2024
blood-brain barrier	barrera hematoencefálica	BI2024
B-lymphocytes	linfocitos b	BI2024
body	cuerpo	referido al comprimido)	BI2024
body plethysmography	pletismografía corporal	BI2024
body weight [b.wt.]	peso corporal	BI2024
Boehringer Ingelheim	Boehringer Ingelheim	BI2024
bone marrow smear	frotis de médula ósea	BI2024
borderline setting	configuración límite	BI2024
Borg scale	escala de Borg	BI2024
bottle	frasco	BI2024
bottom	base	de la columna de tamices)	BI2024
bottom phase	fase inferior	BI2024
bovine serum albumin	seroalbúmina bovina	BI2024
bracketing 	diseño de análisis de extremos	BI2024
branched-chain amino acids	aminoácidos de cadena ramificada	BI2024
Brazilian Health Regulatory Agency	Agencia Nacional de Vigilancia Sanitaria de Brasil	BI2024
break	fraccionar	referido a un comprimido)	BI2024
breaking strain	deformación	BI2024
breaking strength	fuerza de rotura	BI2024
breakpoint 	punto crítico	BI2024
breast-feeding 	lactancia	BI2024
breathing discomfort	dificultad respiratoria	BI2024
brief summary	resumen acotado	BI2024
bromhexine hydrochloride 	clorhidrato de bromhexina	BI2024
bromhydrine	bromhidrina	BI2024
bromide	bromuro	BI2024
bromine	bromo	BI2024
bromocresol green	verde de bromocresol	BI2024
bromohydrine	bromohidrina	BI2024
bronchodilating profile	perfil de broncodilatación	BI2024
bronchoprotection	broncoprotección	BI2024
bronchoprotective effect	efecto broncoprotector	BI2024
brown	castaño	BI2024
brown yellow 	ocre	BI2024
buffer acid 	ácido débil	BI2024
buffer alkali	base débil	BI2024
buffer capacity	capacidad amortiguadora	BI2024
buffer solution 	disolución amortiguadora 	BI2024
buffer substance	estabilizador del pH	BI2024
bulk density	densidad aparente	BI2024
bulk product	producto a granel	BI2024
bulk properties	propiedades intensivas	BI2024
bulk volume	volumen del granel	BI2024
burner 	mechero	BI2024
burning	ardor	BI2024
burning pain	ardor	BI2024
butanol	butanol	BI2024
butanone	butanona	BI2024
butendioate	butendioato	BI2024
butylmethylacrylate	metacrilato de butilo	BI2024
by-products 	productos secundarios	BI2024
cabinet	cámara	referido a una tamizadora sónica)	BI2024
cable binder	precinto	BI2024
calcium carbonate	carbonato de calcio	BI2024
calcium hydrogen phosphate, anhydrous	fosfato monoácido de calcio anhidro	BI2024
calcium stearate	estearato de calcio	BI2024
calculated with reference to anhydrous substance	calculado en base anhidra	BI2024
calibrated syringe 	jeringa calibrada 	BI2024
calibration curve	curva de calibración	BI2024
calibration plot 	curva de calibración	BI2024
calliper	calibrador	BI2024
cam bushing	buje de leva	BI2024
cap	tapa	de una jeringa)	BI2024
cap liner	revestimiento interior	referido a la tapa de un medicamento)	BI2024
capacity factor	factor de capacidad	BI2024
capillary	tubo capilar	BI2024
capillary gel electrophoresis	electroforesis capilar en gel	BI2024
capillary gel electrophoresis reduced	electroforesis capilar en gel en condiciones reductoras	BI2024
capillary isoelectric focusing	enfoque isoeléctrico capilar	BI2024
capping	of the layer of a tablet) 	desprendimiento	BI2024
capping	of the layer of a tablet) 	decapado (referido a los comprimidos) 	BI2024
capsule cap flesh	casquete de la cápsula	BI2024
capsule filling machine	encapsuladora 	BI2024
carbon-14	carbono 14	BI2024
carbonyldiimidazole	carbonildiimidazol	BI2024
carcinogenetic	carcinogénico	referido a un carcinógeno)	BI2024
carcinogenic	cancerígeno	BI2024
carcinogenicity	carcinogenia	BI2024
carcinogenicity	acción cancerígena	BI2024
cardiac cirrhosis	cirrosis hepática de origen cardíaco 	BI2024
cardiac exam	auscultación cardíaca	BI2024
cardiac examination	auscultación cardíaca	BI2024
cardiac failure	insuficiencia cardíaca 	BI2024
cardiac output	gasto cardíaco	BI2024
cardiovascular	cardiovascular	BI2024
carnauba wax	cera de carnauba	BI2024
carrier 	soporte	en cromatografía - puede ser almidón, celulosa, etc.)	BI2024
carrier gas pressure	presión del gas portador	cromatografía)	BI2024
carry over product	producto residual	BI2024
carryover 	arrastre	referido a las impurezas)	BI2024
carton	envase 	BI2024
cartoning machine	encajadora	BI2024
cartoner	encajadora	BI2024
cartridge	cartucho	BI2024
CAS number	Chemical Abstracts Service, CAS).	BI2024
Chemical Abstracts Service number	Número según el CAS - Servicio de información de sustancias químicas	Chemical Abstracts Service, CAS).	BI2024
cascade impactor	impactador de cascadas 	BI2024
case bottom part	parte inferior del compartimento	BI2024
case card	ficha del paciente	BI2024
case history	historia clínica	BI2024
medical record	historia clínica	BI2024
case report forms	referido a estudios clínicos)	BI2024
case record form	formulario de notificación de casos	referido a estudios clínicos)	BI2024
case upper part	parte superior del compartimento	BI2024
catalyst	catalizador 	BI2024
cation exchange chromatography	cromatografía de intercambio catiónico	BI2024
Cell #1221	célula número 1221	BI2024
cell density	densidad celular 	BI2024
cell line	línea celular	BI2024
cell-based assay	ensayo celular	BI2024
cellulose	celulosa	BI2024
cellulose cardboard	cartón de celulosa	BI2024
Center for Drug Evaluation and Research	Centro de Evaluación e Investigación de Medicamentos	Center for Drug Evaluation and Research)	BI2024
Central nervous system	Sistema nervioso central	BI2024
cerebrovascular accident	accidente cerebrovascular	BI2024
certificate of clearance 	certificado de autorización	BI2024
charge identification	Identificación de la carga	BI2024
charge ID 	Identificación de la carga	BI2024
charge variant	variante de carga	BI2024
charge isoform	variante de carga	BI2024
charged aerosol detector	detector de aerosol cargado	en cromatografía)	BI2024
Charles River Laboratories	cepa de ratón de Charles River Laboratories y Naval Medical Research Institute [Crl:NMRI]	BI2024
Naval Medical Research Institute mouse strain [Crl:NMRI]	cepa de ratón de Charles River Laboratories y Naval Medical Research Institute [Crl:NMRI]	BI2024
Charles River Laboratories	cepa de rata de Charles River Laboratories	BI2024
Wistar Hannover rat strain [Crl:WI(Han)]	Wistar Hannover [Crl:WI(Han)]	BI2024
check-weighing equipment  	control de los equipos para pesar 	BI2024
Chemical Abstract Name 	Nombre según el CAS 	Servicio de información de sustancias químicas, Chemical Abstract Service)	BI2024
Chemical Abstracts Service	Servicio de información de sustancias químicas	Chemical Abstracts Service, CAS).	BI2024
chemical degradation	degradación química	BI2024
chemical name 	nombre químico	BI2024
chemical reactivity	reactividad química	BI2024
chemicals	sustancias químicas	BI2024
Chemikaliengesetz	Chemikaliengesetz	Ley sobre productos químicos) 	BI2024
child-resistant	a prueba de niños	BI2024
Chinese hamster ovary cell line	línea celular de ovario de hámster chino	BI2024
chiral center 	centro quiral	BI2024
chiral high performance liquid chromatography [C-HPLC]	cromatografía líquida de alta resolución quiral [C-HPLC]	BI2024
chloride	cloruro	BI2024
chlorine	cloro	BI2024
chloromethyl	clorometilo	BI2024
choline	colina	BI2024
chromatographic assay	valoración cromatográfica 	BI2024
chromatographic purity	pureza cromatográfica	BI2024
chromatography determination	determinación por cromatografía	BI2024
chromatography grade	grado de cromatografía 	BI2024
chromatography peak	pico cromatográfico	BI2024
chromatography setup	configuración cromatográfica	BI2024
chromogenic LAL assay	ensayo LAL cromogénico	BI2024
chromogenic limulus amebocyte lysate assay	ensayo de lisado de amebocitos de Limulus cromogénico	BI2024
chromophore	cromóforo	BI2024
chromosome breakage	ruptura de cromosomas	BI2024
chronic obstructive pulmonary disease	enfermedad pulmonar obstructiva crónica	BI2024
ciclesonide	ciclesonida 	BI2024
ciclesonide isobutyrate	ciclesonida isobutirato 	BI2024
circa 	aproximadamente [aprox.]	BI2024
circulating metabolite	metabolito circulante	BI2024
claimed use period	período de uso declarado	BI2024
clamp	sujetar con la traba	referido a la columna de tamices)	BI2024
clarithromycin	claritromicina	BI2024
clarity	claridad, claro	BI2024
clear	limpidez, límpido	BI2024
clarity of thought	lucidez mental	BI2024
class 100 laminar flow hood	campana de flujo laminar clase 100	BI2024
clastogen	clastógeno	BI2024
clean steam	vapor limpio	BI2024
cleanliness	higiene	BI2024
clean-up	limpieza 	BI2024
cleaning	limpieza 	BI2024
clearing of airways	desobstrucción de las vías respiratorias	BI2024
cleavage	escisión	BI2024
climatic zone	zona climática	BI2024
clinical efficacy	eficacia clínica	BI2024
clinical overview	resumen clínico	BI2024
clinical overview statements	generalidades clínicas	BI2024
clinical pilot facility   	planta piloto para investigación clínica	BI2024
clinical sign	signo clínico	BI2024
clinical study	estudio clínico	BI2024
clinical study phase I	estudio clínico de fase I	BI2024
clinical study phase II	estudio clínico de fase II	BI2024
clinical study phase III 	estudio clínico de fase III	BI2024
clinical trial 	ensayo clínico 	BI2024
clinical trial report	Informe del ensayo clínico	BI2024
clinically important active infection 	infección activa clínicamente importante 	BI2024
clipping site	sitio de corte	BI2024
close tightly	cerrar herméticamente	BI2024
clot lysis	lisis de un coágulo	BI2024
coagulation assay	prueba de coagulación	BI2024
coarse material	material de grano grueso	BI2024
cobalt chloride	cloruro de cobalto 	BI2024
co-elution	coelución	referido a cromatografía)	BI2024
cognate ligands	ligandos relacionados	BI2024
cohort study 	estudio de cohortes	BI2024
collection plate	placa colectora	BI2024
colloidal mill	molino coloidal	BI2024
colloidal silicon dioxide	dióxido de silicio coloidal	BI2024
colonic adenocarcinoma cell line 	línea celular de adenocarcinoma de colon 	BI2024
colony forming units 	unidades formadoras de colonias 	BI2024
colourimetric comparison	comparación colorimétrica	BI2024
colouring agent	colorante	BI2024
colourless platelike crystal 	cristal incoloro con forma de placas 	BI2024
column head	cabeza de la columna	BI2024
column oven	horno de la columna	BI2024
column packing	relleno de la columna	BI2024
column packing lot	lote de relleno de la columna	BI2024
column switching device	válvula de intercambio de la columna	BI2024
column temperature ramp  	escalada de temperatura de la columna	BI2024
combined dataset	conjunto de datos combinados	BI2024
Committee for Medicinal Products for Human Use and Quality Working Party 	Comité de Medicamentos para Consumo Humano y Subcomisión de calidad	BI2024
Committee on Herbal Medicinal Products	Comité de Medicamentos de Origen Vegetal 	BI2024
common HAM`s F12/DMEM medium	medio de HAM F12/DMEM estándar	BI2024
Company Core Data Sheet	Información fundamental del producto, de uso interno 	BI2024
company reference standard	estándar interno de referencia 	BI2024
compendial	incluido/a en la Farmacopea	BI2024
compendial reference	referencia farmacopeica	BI2024
complete	terminar 	BI2024
complete blood count	hemograma completo	BI2024
full blood count	hemograma completo	BI2024
complete necropsy	necropsia completa	BI2024
completeness check	prueba de integridad	BI2024
complexometric titration	valoración complejométrica	BI2024
comply with	un criterio o una especificación)	BI2024
conform to 	cumplir con	un criterio o una especificación)	BI2024
composite of cardiovascular events	conjunto de episodios cardiovasculares agudos	BI2024
composite outcome	criterio de valoración compuesto	BI2024
compound symmetry covariance structure	estructura de covarianza de simetría compuesta	BI2024
compressed blend	mezcla comprimida	BI2024
compression	compresión	BI2024
compression trial	estudio de compresión	BI2024
concentrate for solution for infusion 	concentrado para solución para infusión	BI2024
concentration ratio of drug-related radioactivity between blood cells and plasma [CC/CP]	cociente de concentración de radioactividad relacionada con el fármaco entre los glóbulos sanguíneos y el plasma [CC/CP]	BI2024
concurrently	e.g.: these vaccines should not be given concurrently with …).	simultáneamente (por ejemplo: estas vacunas no deben administrarse simultáneamente con…).	BI2024
condition	patología	sentido restringido)	BI2024
condition	condición	sentido amplio)	BI2024
confidence	confianza	referido a estadística y a medición y calibración de equipos)	BI2024
confidence interval	intervalo de confianza	BI2024
confidence interval upper bound 	límite superior del intervalo de confianza	BI2024
conform to	un criterio o una especificación)	BI2024
comply with	cumplir con	un criterio o una especificación)	BI2024
confounding factors	variables de distorsión	BI2024
congestive heart failure	insuficiencia cardíaca congestiva	BI2024
conjugated metabolites	metabolitos conjugados	BI2024
consistent	coherente	BI2024
consistent	coherencia	referido a la lógica)	BI2024
consistent	consistente	BI2024
consistency	consistencia	referido a una sustancia)	BI2024
Consumer Health Care	Cuidado de la Salud del Consumidor	BI2024
consumption	consumo	BI2024
contact	dejar en contacto	una mezcla)	BI2024
container closure	envase y sistema de cierre	BI2024
system	envase y sistema de cierre	BI2024
container closure integrity test	prueba de integridad del cierre del envase	BI2024
content uniformity	uniformidad del contenido	BI2024
continuous intravenous infusion	infusión intravenosa continua	BI2024
continuous thread, multi-part plastic screw closure	sistema de cierre plástico de rosca continua articulado	BI2024
continuous threaded closure	tapa de cierre de rosca continua	BI2024
contraindications	contraindicaciones	BI2024
cooling plate	placa de enfriamiento	BI2024
cooling ramp	rampa de enfriamiento	BI2024
cooling water	agua de refrigeración	BI2024
copolymer	copolímero	BI2024
copolyvidone, copovidone	copolividona	BI2024
copper sulphate anhydrous	sulfato de cobre anhidro	BI2024
